Route ID,Short Name,Long Name,Description
MTA NYCT_B49,B49,Manhattan Beach - Bedford-Stuyvesant,via Ocean Av / Bedford & Rogers Av
MTA NYCT_SIM8,SIM8,Huguenot - Midtown Manhattan Express,via Richmond Av / Woodrow Rd
MTA NYCT_SIM7,SIM7,Eltingville - Greenwich Village Express,via Hylan Bl / Richmond Av
MTA NYCT_SIM6,SIM6,Eltingville - Midtown Manhattan Express,via F Capodanno / Giffords La
MTA NYCT_B60,B60,Williamsburg - Canarsie,via Wilson Av / Rockaway Av
MTA NYCT_SIM5,SIM5,Eltingville - Lower Manhattan Express,via F Capodanno / Giffords La
MTA NYCT_SIM4,SIM4,Eltingville - Lower Manhattan Express,via Richmond Av
MTA NYCT_B62,B62,Downtown Brooklyn - Long Island City,via Bklyn Navy Yard / Manhattan Av / Jackson Av
MTA NYCT_SIM1C,SIM1C,Eltingville - Manhattan Express,via Hylan Bl / Richmond Av
MTA NYCT_SIM3,SIM3,Pt. Richmond - Midtown Manhattan Express,via Watchogue Rd
MTA NYCT_B61,B61,Park Slope - Downtown Brooklyn,via Van Brunt St / Columbia St / 9th St
MTA NYCT_SIM2,SIM2,Tottenville - Lower Manhattan Express,via Huguenot Av / Hylan Bl
MTA NYCT_B64,B64,Bay Ridge - Coney Island,via Bay Ridge Av / Bath Av
MTA NYCT_SIM1,SIM1,Eltingville - Lower Manhattan Express,via Hylan Bl / Richmond Av
MTA NYCT_B63,B63,Bay Ridge - Cobble Hill,via 5th Av / Atlantic Av
MTA NYCT_S76,S76,St. George - Oakwood,via Richmond Rd / New Dorp Ln
MTA NYCT_Q36,Q36,Floral Park or Little Neck - Jamaica,via Jamaica Av / Hillside Av / Little Neck Pkwy
MTA NYCT_S78,S78,St. George - Bricktown Mall,via Hylan Blvd
MTA NYCT_S79+,S79-SBS,Staten Island Mall - Bay Ridge,Select Bus Service via Verrazano-Narrows Bridge / Hylan Blvd
MTA NYCT_BX12+,Bx12-SBS,Bay Plaza - Inwood,Select Bus Service via Pelham Pkwy / Fordham Rd
MTA NYCT_Q30,Q30,Little Neck or Queensborough Community College - Jamaica,via Horace Harding Expwy / Utopia Pkwy / Homelawn St
MTA NYCT_SIM24,SIM24,Prince's Bay - Midtown Manhattan Express,via Huguenot Av
MTA NYCT_SIM25,SIM25,Tottenville - Midtown Manhattan Express,via Rossville Av
MTA NYCT_Q32,Q32,Jackson Heights - Penn Station,via Roosevelt Av / Queens Blvd / Fifth Av / Madison Av
MTA NYCT_S74,S74,St. George - Bricktown Mall,via Richmond Rd / Arthur Kill Rd
MTA NYCT_SIM26,SIM26,Tottenville - Midtown Manhattan Express,via Bloomingdale Rd
MTA NYCT_Q31,Q31,Bayside - Jamaica,via Bell Blvd / Utopia Pkwy / Homelawn St
MTA NYCT_B54,B54,Downtown Brooklyn - Ridgewood,via Myrtle Av
MTA NYCT_L91,L91,L Shuttle Bus - Broadway Junction - Rockaway Parkway,via Pennsylvania Ave/Flatlands Ave
MTA NYCT_B57,B57,Gowanus - Maspeth,via Flushing Av
MTA NYCT_SIM22,SIM22,Eltingville - Midtown Manhattan Express,via Arthur Kill Rd / Richmond Av
MTA NYCT_L90,L90,L Shuttle Bus - Lorimer St - Myrtle Wyckoff Avs,via Wyckoff Av / Metropolitan Av
MTA NYCT_SIM23,SIM23,Annadale - Midtown Manhattan Express,via Arden Av
MTA NYCT_L92,L92,L Shuttle Bus - Abingdon Sq - FDR Drive,via 14 St
MTA NYCT_BX2,Bx2,Kingsbridge Heights - Mott Haven,via Grand Concourse / E 149th St
MTA NYCT_BX1,Bx1,Riverdale - Mott Haven,via Grand Concourse / E 138th St
MTA NYCT_B70,B70,Dyker Heights - Sunset Park,via 92nd St / 3rd Av / 8th Av
MTA NYCT_BX4,Bx4,Westchester Sq - The Hub,via Westchester Av
MTA NYCT_X28,X28,Sea Gate / Bensonhurst - Manhattan Express,via Surf Av / Cropsey Av
MTA NYCT_BX3,Bx3,Riverdale - George Washington Bridge,via Sedgwick Av / University Av / W 181st St
MTA NYCT_X27,X27,Bay Ridge - Manhattan Express,via Shore Rd
MTA NYCT_BX6,Bx6,Hunts Point - Riverside Dr,via E 161st St / E 163rd St / W 155 St
MTA NYCT_BX5,Bx5,Pelham Bay - Gladstone Sq,via Bruckner Blvd  / Story Av
MTA NYCT_B74,B74,Sea Gate - Stillwell Av,via Mermaid Av
MTA NYCT_S86,S86,St. George - Oakwood LTD,via Richmond Rd / New Dorp Ln (S76 Limited)
MTA NYCT_S89,S89,Eltingville - Bayonne LTD,via Richmond Av (S59 Limited)
MTA NYCT_Q46,Q46,Glen Oaks - Kew Gardens,via Union Turnpike
MTA NYCT_Q48,Q48,Flushing - LaGuardia Airport,via Roosevelt Av / 108th St / Ditmars Blvd
MTA NYCT_S81,S81,St. George - Grant City LTD,via Bay St / Father Capodanno Blvd (S51 Limited)
MTA NYCT_M116,M116,West Side - East Harlem,via 116th St Crosstown
MTA NYCT_Q15A,Q15A,Flushing - Beechhurst / Whitestone,via 150th St / Whitestone
MTA NYCT_Q43,Q43,Floral Park - Jamaica,via Sutphin Blvd / Hillside Av
MTA NYCT_Q42,Q42,Addeslieigh Park - Jamaica,via 174 St / Liberty Av / Sayres Av
MTA NYCT_S84,S84,St. George - Bricktown Mall LTD,via Richmond Rd / Arthur Kill Rd (S74 Limited)
MTA NYCT_B65,B65,Downtown Brooklyn - Crown Heights,via Bergen St & Dean St
MTA NYCT_B68,B68,Coney Island - Windsor Terrace,via Coney Island Av / Brighton Beach Av
MTA NYCT_B67,B67,Brooklyn Navy Yard - Kensington,via Flatbush Av / 7th Av / McDonald Av
MTA NYCT_B69,B69,Downtown Brooklyn - Kensington,via Vanderbilt Av / 7th Av / McDonald Av
MTA NYCT_M23+,M23-SBS,Chelsea Piers - East Side,Select Bus Service via 23rd St Crosstown
MTA NYCT_B82,B82,Coney Island - Spring Creek Towers,via Bay Pkwy / Kings Hwy / Flatlands Av
MTA NYCT_X37,X37,Bay Ridge - Midtown Manhattan Express,via Shore Rd
MTA NYCT_B84,B84,Spring Creek-New Lots,via Ashford Street/Flatlands Avenue
MTA NYCT_B83,B83,Spring Creek - Broadway Junction,via Van Siclen Av / Pennsylvania Av / Gateway Dr
MTA NYCT_X38,X38,Sea Gate / Bensonhurst - Midtown Manhattan Express,via Surf Av / Cropsey Av
MTA NYCT_Q56,Q56,Broadway Junction - Jamaica,via Jamaica Av
MTA NYCT_S98,S98,St. George - Mariners Harbor LTD,via Forest Av (S48 Limited)
MTA NYCT_SIM33C,SIM33C,Mariners Harbor - Greenwich Village Express,via N Gannon Av
MTA NYCT_Q55,Q55,Ridgewood - Richmond Hill,via Myrtle Av
MTA NYCT_Q58,Q58,Ridgewood - Flushing,via Fresh Pond Rd / Corona Av / College Pt Blvd
MTA NYCT_Q59,Q59,Williamsburg - Rego Park,via Grand St / Grand Av / Queens Blvd
MTA NYCT_S90,S90,St. George - Amazon,via Richmond Terrace (S40 Limited)
MTA NYCT_S92,S92,St. George - Travis LTD,via Victory Blvd (S62 Limited)
